id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Society:encounter (meet).V	no	To meet someone or discover something, usually unexpectedly.			3904			
Society:enemy.N	no	Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.	10098710	n	1358	19-52	Feind::N	
Society:fame.N	no	The state or quality of having a positive reputation.			865			
Society:festival.N	no	Manifestation of collective joy, lasting longer than a few minutes.			131			
Society:freeman.N	no	A free man, one who is not a serf or slave.	10111023	n	384	19-44		
Society:friend.N	no	A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.	10112591	n	1325	19-51	Freund::N	374
Society:friendship.N	no	A feeling of affection, good disposition, and sympathy experienced towards someone.			3954			
Society:game.N	no	A game is structured form of play, usually undertaken for enjoyment and sometimes used as an educational tool.			2467		Spiel::N	
Society:gipsy.N	no	Gipsy is a common word used to indicate Romani people, Tinkers and Travellers.			532			
Society:gossip.V	no	To talk about other people's private lives.			3640			
Society:govern.V	no	To make and administer the public policy and affairs of; to exercise sovereign authority in.			382			
Society:guest.N	no	A person that visits and stays at a house, usually for one or more nights.	10150940	n	1782	19-56	Gast::N	
Society:han chinese.N	no	Referring to the Han Chinese people, their cultural practices or heritage.			3373			
Society:help.N	yes	The act of helping someone.			3467		Hilfe::N	
Society:help.V	yes	To give assistance or aid to.	2547586	v	1897	19-58		2155
Society:high-ranking.A	no	Being at an elevated level in rank or importance.			2202			
Society:hinder or prevent.V	no	To make it difficult for something to occur or to fully stop it from occurring.			3201			
Society:hire or rent.V	no	To employ a person or people in exchange of some kind of remuneration, usually a payment, or to pay for using an object.			3213			
Society:hold a meeting.V	no	To assemble and conduct a gathering of people; to convene.			3070			
Society:honor (somebody).V	no	To treat someone with the utmost respect and admiration.			3628			
Society:host.N	no	Person at whose place guests stay.	10187130	n	1545	19-57		
Society:indigenous peoples of the americas.N	no	Referring to the native inhabitants of North and South America.			3612			
Society:insult.V	no	To use swear-words towards someone.			3204			
Society:interpreter.N	no	A person who translates someone's speech orally from one language into another.			3744			
Society:invite.V	no	To request or ask for the presence or participation of someone.	2384686	v	1611	19-565	einladen::V	
Society:king.N	no	A male member of a Royal Family and supreme ruler of his nation.	10231515	n	1508	19-32	König::N	
Society:lady.N	no	A woman of higher social status.			2471			
Society:liar.N	no	A person who tells lies.			3470			
Society:liberate.V	no	To set free from the power of another.	2497062	v	37	19-445		
Society:lord.N	no	A man of noble rank or high office; a nobleman.			3153			
Society:master.N	no	Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.	10388440	n	383	19-41		
Society:mate.N	no					19-99944		
Society:meet.V	yes	To encounter a person, either intentionally or by chance.	2022804	v	1831	19-65	treffen::V	3040
Society:mid-autumn festival.N	no	A harvest festival celebrated by ethnic Chinese and Vietnamese peoples.			2187			
Society:midwife.N	no	A person, usually a woman, who helps women in childbirth and provides ante- and postnatal care.			3859			
Society:murderer.N	no	A person who commits murder.			3871			
Society:native country.N	no	One’s country of birth.	8510169	n	89	19-12		
Society:neighbour.N	no	A person living in a house that is adjacent or nearby another person's house.	10352299	n	1332	19-54		
Society:noble.N	no	Someone of aristocratic blood.	10271677	n	482	19-36		
Society:nomadize.V	no	To lead a nomadic lifestyle.			2221			
Society:obey.V	no	To do as you are told.	2542795	v	1635	19-46		
Society:offend.V	no	To hurt the feelings of; to displease; to make angry; to insult.			557			
Society:official.N	no	A person who acts on behalf of a governmental or non-governmental organization within the scope of their prescribed authority.			3361			
Society:oppress.V	no	To cause, inflict or threaten with suffering, need, distress, or pain.			401			
Society:people.N	yes	A group of persons forming or belonging to a particular nation, class, ethnic group, country, family, etc.	8160276	n	789	19-21	Volk::N	
Society:permit.V	no	To give permission to an action.	802318	v	1003	19-47		
Society:pimpleface.N	no	A person with acne marks in the face.			3366			
Society:play (game).V	no	Act within the frame and rules of a game.			3125			
Society:plot.N	no	Agreement on a secret plot.	5907682	n	2024	19-63		
Society:power.N	no	The ability to act or force others to act.			2526	19-99931	Macht::N	
Society:prevent.V	no	To inhibit the occurrence of an event; to stop from doing something or being in a certain state.	2450505	v	1550	19-59		
Society:prince (ruler).N	no	A ruler whose status is below that of a king.			2554			
Society:prostitute.N	no	A woman who sells sexual services for money.	10485440	n	1610	19-72		
Society:quarrel (verb).V	no	To have a loud or noisy verbal confrontation between two or more people.			3302	19-9994		
Society:quarrel.N	no	A loud or noisy verbal confrontation between two or more people.	7184149	n	1848	19-62		
Society:queen.N	no	A female monarch.	10499355	n	1306	19-33		
Society:rebel.V	no	To resist or become defiant toward an authority.			567			
Society:receive visitors.V	no	To receive visitors.			2225			
Society:rely on.V	no	To trust someone's ability to help or expect something to happen in a particular way.			3370			
Society:ritual ground.N	no	An uncovered open area used for ritual activities and public meetings.			3178			
Society:rule.V	no	To exercise power or authority over a person, a group of persons, animals, territories or an organization.	2586619	v	1846	19-31	beherrschen::V	
Society:servant.N	no	A person performing duties for others. For example a person employed in a household which cares about the domestic duties.	10582154	n	255	19-43		
Society:serve (someone).V	no	To perform the duties of a servant.			3648			
Society:sex (gender).N	no	The gender of a person, like female, or male.			2562			
Society:slander.V	no	To make a false statement about someone with the intention to defame them or damage their reputation.			3641			
Society:slave.N	no	A person who is owned and forced to work, usually without pay, by another.	10609325	n	812	19-42		
Society:society.N	no	A large social body brought together and organized under a common set of rules or principles.			3958			
Society:spoil (somebody or something).V	no	To hinder or prevent (the efforts, plans, or desires) of.			92		verderben::V	
Society:stranger.N	no	Someone who is not known.	10661216	n	791	19-55		
Society:subjugate.V	no	To put somebody under one's authority.			1516			
Society:team.N	no	A cooperative group of individuals working together for a common purpose.			3961			
Society:tibetan.N	no	Referring to the Tibetan people, their cultural practices or heritage.			3374			
Society:town or village.N	no	Referring to either smaller (village) or larger (town) settlements.			3609			
Society:town.N	no	An area with residential districts, shops and amenities, and its own local government.	8665504	n	1391	19-15	Stadt::N	
Society:treaty.N	no	Formal agreement between nations, states or other international bodies.			3169			
Society:tribe.N	no	Group of people linked by the same linguistic and cultural traditions that usually live far from urban areas and practice their own legal rules and have their own political system.			1549			
Society:trust (somebody).V	no	To have great confidence in someone that he or she is sincere, honest, and will not deliberately inflict any harm.			3902			
Society:village.N	no	A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.	8672738	n	930	19-16	Dorf::N	
Society:visit.V	no	To go and see a person or place.			1377		besuchen::V	
Society:warrior.N	no	A person trained in combat or warfare.			3608			
Society:world.N	yes	A planet or another domain with all its inhabitants and all things upon it.			965	1-1	Welt::N	1101
Sound:bark.V	yes	To produce a loud, short, explosive sound similar to that of a dog.			1206		bellen::V	
Sound:be silent.V	yes	To stop speaking or making noise.			48	18-23		
Sound:bell.N	yes	A simple sound-making device.			2246			
Sound:bell.N	no	bell						2320
Sound:chime.V	yes	To ring the bells.			2897		läuten::V	
Sound:clap.V	yes	Make noise by putting one's hand together.			3110			
Sound:concert.N	no	concert						2318
Sound:crow.V	yes	To utter the characteristic cry of a rooster.			2074			
Sound:drum.N	no	drum (hollow musical instrument beaten with sticks or hands)						2321
Sound:flute.N	yes	A musical instrument of the woodwind family.	3372029	n	777	18-71		
Sound:giggle.INT	yes	The sound of giggling, tee hee hee.						
Sound:giggle.V	yes	To laugh gently.						
Sound:guitar.N	no	guitar						2322
Sound:haha.INT	yes	The sound of laughter.						
Sound:hiss.V	yes	To produce a continuous voiceless sibilant sound like a long /s/.			3685			
Sound:horn.N	no	horn (makes noise when blown)						2323
Sound:howl.N	yes	A loud vocalisation inflicted by pain.			2523			
Sound:howl.V	yes	To cry like a wolf, dog, or other canids.	1047381	v	526	18-19	heulen::V	
Sound:laugh.N	yes	Laughter is a physical reaction in humans and some other species of primate, consisting typically of rhythmical, often audible contractions of the diaphragm and other parts of the respiratory system.			2958		Gelächter::N	
Sound:laugh.V	yes	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.	31820	v	1355	16-25	lachen::V	743
Sound:make noise.V	yes	To be loud.			2895		lärmen::V	
Sound:orchestra.N	no	orchestra						2330
Sound:piano.N	no	piano						2324
Sound:rattle.N	yes	A wooden instrument that makes a loud knocking noise [used by people watching football games].	4056289	n	300	18-74		
Sound:roar.V	yes	To make a deep loud cry (of lions and comparable wild animals); to make a deep loud cry, usually out of anger (of humans).			3896			
Sound:rustle (of leaves).V	yes	A sound emitted by leaves moving in the trees.			2877		rauschen::V	
Sound:scream.N	yes	A loud vocalisation.			2522			
Sound:scream.V	yes	To give a loud cry out of pain, fear or excitement. The vocalisation resulted from screaming is distinct from that produced by shrieking in that it is typically characterized by a longer duration and lower pitch.			3809			
Sound:shout.V	yes	To say something in a loud voice.	912048	v	715	18-13	schreien::V	
Sound:shriek.V	yes	To make a short, loud and high-pitched sound in reaction to something.	914420	v	298	18-18		
Sound:sound (of instrument or voice).V	yes	The noise emitted by musical instruments or humans speaking.			2879		klingen::V	
Sound:string instrument.N	yes	A string instrument.				11-99905		
Sound:stutter.V	yes	To have problems articulating the words, repeting sometimes some syllables.	981544	v	1866	18-211		
Sound:stutterer.N	yes	A person that stutters.			3367			
Sound:ululate.V	yes	To ululate.				18-99912		
Sound:voice.N	yes	The sound and tones human beings are able to produce with the vocal cords.	7110615	n	1363	18-11	Stimme::N	
Sound:whisper.V	yes	To speak in a quiet voice, without vibration of the vocal cords.	915830	v	55	18-15		
Sound:whistle.V	yes	To make a sound or a melody by forcing the breath out between closed lips.	1043441	v	1025	18-17	pfeifen::V	
Space:above.?	no	Situated in a higher place than something else.			1741	12-081		
Space:across.?	no	Located directly across from something else, or from each other.			2670			
Space:after.?	no	Subsequent, following, in time or space.			1685	12-01		
Space:altitude.N	no	A distance measurement in the vertical direction.			2535			
Space:angular (squareformed).N	no	Having the form of a square.			2757			
